Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: Z:\POISSONSUPERFISH\SF7.EXE
SF.INI file: Z:\tmp\psf\e9be9084-f82c-4f01-8db9-825e5981f989\SF.INI 11-05-2020   2:53:34
Solution file Z:\TMP\PSF\E9BE9084-F82C-4F01-8DB9-825E5981F989\SWIFEL_7.000_9.170_36.000_5.531_9.819_30.000_2.000_5469.T35.
Memory used for SWIFEL_7.000_9.170_36.000_5.531_9.819_30.000_2.000_5469.T35 arrays:       8.857 M
Reading keyword commands and data from file:
SWIFEL_7.000_9.170_36.000_5.531_9.819_30.000_2.000_5469.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (50,0.0)
(Zmax,Rmax) = (70,3)
Z and R increments:    99    19
EZERO computed by SFO =    0.79521E+07 MV/m
Interpolated fields normalized to E0 =    0.79521E+07 MV/m

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   64.7475       0.00000      7.365501E-04  0.000000E+00  7.365501E-04  0.000000E+00
   64.9495       0.00000      5.589991E-04  0.000000E+00  5.589991E-04  0.000000E+00
   65.1515       0.00000      4.233904E-04  0.000000E+00  4.233904E-04  0.000000E+00
   65.3535       0.00000      3.186524E-04  0.000000E+00  3.186524E-04  0.000000E+00
   65.5556       0.00000      2.383585E-04  0.000000E+00  2.383585E-04  0.000000E+00
   65.7576       0.00000      1.759288E-04  0.000000E+00  1.759288E-04  0.000000E+00
   65.9596       0.00000      1.305477E-04  0.000000E+00  1.305477E-04  0.000000E+00
   66.1616       0.00000      9.667052E-05  0.000000E+00  9.667052E-05  0.000000E+00
   66.3636       0.00000      7.146190E-05  0.000000E+00  7.146190E-05  0.000000E+00
   66.5657       0.00000      5.226495E-05  0.000000E+00  5.226495E-05  0.000000E+00
   66.7677       0.00000      3.874213E-05  0.000000E+00  3.874213E-05  0.000000E+00
   66.9697       0.00000      2.881110E-05  0.000000E+00  2.881110E-05  0.000000E+00
   67.1717       0.00000      2.149709E-05  0.000000E+00  2.149709E-05  0.000000E+00
   67.3737       0.00000      1.594191E-05  0.000000E+00  1.594191E-05  0.000000E+00
   67.5758       0.00000      1.203503E-05  0.000000E+00  1.203503E-05  0.000000E+00
   67.7778       0.00000      9.139650E-06  0.000000E+00  9.139650E-06  0.000000E+00
   67.9798       0.00000      6.974490E-06  0.000000E+00  6.974490E-06  0.000000E+00
   68.1818       0.00000      5.300589E-06  0.000000E+00  5.300589E-06  0.000000E+00
   68.3838       0.00000      4.086960E-06  0.000000E+00  4.086960E-06  0.000000E+00
   68.5859       0.00000      3.161893E-06  0.000000E+00  3.161893E-06  0.000000E+00
   68.7879       0.00000      2.450269E-06  0.000000E+00  2.450269E-06  0.000000E+00
   68.9899       0.00000      1.887465E-06  0.000000E+00  1.887465E-06  0.000000E+00
   69.1919       0.00000      1.465239E-06  0.000000E+00  1.465239E-06  0.000000E+00
   69.3939       0.00000      1.136825E-06  0.000000E+00  1.136825E-06  0.000000E+00
   69.5960       0.00000      8.804245E-07  0.000000E+00  8.804245E-07  0.000000E+00
   69.7980       0.00000      6.760367E-07  0.000000E+00  6.760367E-07  0.000000E+00
   70.0000       0.00000      5.212434E-07  0.000000E+00  5.212434E-07  0.000000E+00
   50.0000      0.157895      3.028809E+01  0.000000E+00  3.028809E+01  2.336935E+02
   50.2020      0.157895      3.024119E+01  3.593745E-02  3.024121E+01  2.333349E+02
   50.4040      0.157895      3.010613E+01  6.804962E-02  3.010621E+01  2.323008E+02
   50.6061      0.157895      2.989714E+01  9.334064E-02  2.989729E+01  2.306980E+02
